Carter Street Garage,"[[[43.1920353], [-77.5899578]], [[43.1920405], [-77.5897716]], [[43.1920797], [-77.589774]], [[43.192082], [-77.5896931]], [[43.1920428], [-77.5896902]], [[43.192066], [-77.5888595]], [[43.1920689], [-77.5887589]], [[43.1918546], [-77.5887465]], [[43.1918559], [-77.5887103]], [[43.1918061], [-77.5887062]], [[43.1918109], [-77.5886016]], [[43.1917308], [-77.5885942]], [[43.1917241], [-77.588739]], [[43.1915013], [-77.5887262]], [[43.1914283], [-77.5887219]], [[43.1913845], [-77.5899112]], [[43.1914405], [-77.5899153]], [[43.1914424], [-77.5898639]], [[43.1916594], [-77.5898773]], [[43.1919265], [-77.5898941]], [[43.1919744], [-77.5898974]], [[43.1919713], [-77.5899538]], [[43.1920353], [-77.5899578]]]"
Joseph C. Wilson Medical Center Building,"[[[43.1926389], [-77.5916951]], [[43.1924316], [-77.5916817]], [[43.1924355], [-77.5916119]], [[43.192369], [-77.5916119]], [[43.1923788], [-77.591333]], [[43.1923045], [-77.5913303]], [[43.1923162], [-77.590944]], [[43.1922927], [-77.5909414]], [[43.1922947], [-77.5908636]], [[43.1923182], [-77.5908663]], [[43.192324], [-77.5907912]], [[43.1923025], [-77.5907912]], [[43.1923064], [-77.5904586]], [[43.1924296], [-77.5904666]], [[43.1924902], [-77.5904317]], [[43.1924922], [-77.5904773]], [[43.1926975], [-77.5904827]], [[43.1926897], [-77.5907375]], [[43.1928383], [-77.5907402]], [[43.1928305], [-77.5909709]], [[43.1927757], [-77.5909709]], [[43.1927562], [-77.5915341]], [[43.1926721], [-77.5915315]], [[43.1926682], [-77.5916119]], [[43.1926428], [-77.5916173]], [[43.1926389], [-77.5916951]]]"
Main Lobby,"[[[43.1935589], [-77.581209]], [[43.1935029], [-77.5812575]], [[43.1934469], [-77.581306]], [[43.1933876], [-77.5812866]], [[43.1932084], [-77.5811311]], [[43.1931032], [-77.5813593]], [[43.1930228], [-77.581289]], [[43.1931312], [-77.5810555]], [[43.193032], [-77.5809689]], [[43.1930143], [-77.5806048]], [[43.1932055], [-77.5807773]], [[43.1931677], [-77.5808562]], [[43.1935589], [-77.581209]]]"
Saint Ann's Chapel,"[[[43.1932084], [-77.5811311]], [[43.1933876], [-77.5812866]], [[43.1932417], [-77.5816052]], [[43.1930613], [-77.5814517]], [[43.1931032], [-77.5813593]], [[43.1932084], [-77.5811311]]]"
Rogers Middle School / Southlawn Elementary School,"[[[43.2032077], [-77.6057937]], [[43.2022919], [-77.6057325]], [[43.2022942], [-77.6055333]], [[43.2023294], [-77.6055354]], [[43.2023427], [-77.6051079]], [[43.2023153], [-77.6051046]], [[43.20232], [-77.6049145]], [[43.2035541], [-77.6050138]], [[43.2035404], [-77.6053043]], [[43.2034612], [-77.6052959]], [[43.2034597], [-77.6053273]], [[43.2032662], [-77.6053147]], [[43.2032662], [-77.6052771]], [[43.2031822], [-77.6052708]], [[43.2031763], [-77.6053461]], [[43.2030712], [-77.6053419]], [[43.2030712], [-77.6053774]], [[43.2030392], [-77.6053753]], [[43.2030346], [-77.6055153]], [[43.2032144], [-77.6055321]], [[43.2032077], [-77.6057937]]]"
St. Margaret Mary Church,"[[[43.2063565], [-77.6060576]], [[43.2060599], [-77.6060433]], [[43.2060526], [-77.606327]], [[43.205936], [-77.6063214]], [[43.2059304], [-77.6065425]], [[43.2057943], [-77.6065359]], [[43.2058059], [-77.6060864]], [[43.2058799], [-77.60609]], [[43.2058887], [-77.6057476]], [[43.2060863], [-77.6057571]], [[43.206084], [-77.6058458]], [[43.2063616], [-77.6058592]], [[43.2063565], [-77.6060576]]]"
Stepping Stones Learning Center,"[[[43.2068775], [-77.6030591]], [[43.2068995], [-77.6021874]], [[43.2058934], [-77.6021397]], [[43.2058788], [-77.6027226]], [[43.2059636], [-77.6027266]], [[43.2059603], [-77.60286]], [[43.2060554], [-77.6028646]], [[43.2060499], [-77.6030822]], [[43.2060943], [-77.6030843]], [[43.2060953], [-77.6030449]], [[43.2063543], [-77.6030572]], [[43.2063535], [-77.6030899]], [[43.2064331], [-77.6030937]], [[43.2064345], [-77.6030381]], [[43.2068775], [-77.6030591]]]"
Briarwood School,"[[[43.2151381], [-77.6059913]], [[43.2149942], [-77.6059281]], [[43.2149895], [-77.6059486]], [[43.2146222], [-77.605789]], [[43.2146901], [-77.6055109]], [[43.2149435], [-77.6056247]], [[43.2150206], [-77.6055662]], [[43.2150621], [-77.6053782]], [[43.2152728], [-77.605473]], [[43.2151957], [-77.6058033]], [[43.2151819], [-77.6057969]], [[43.2151381], [-77.6059913]]]"
Target,"[[[43.197826], [-77.5751952]], [[43.1971031], [-77.5751661]], [[43.1971163], [-77.5745522]], [[43.1970855], [-77.5745509]], [[43.1970886], [-77.5744093]], [[43.1969398], [-77.5744031]], [[43.1969499], [-77.5739479]], [[43.196914], [-77.5739464]], [[43.1969211], [-77.573633]], [[43.1979167], [-77.5736755]], [[43.1979152], [-77.5737444]], [[43.1979578], [-77.5737462]], [[43.1979518], [-77.5740132]], [[43.1979232], [-77.5740124]], [[43.1979208], [-77.5741842]], [[43.1978642], [-77.5741827]], [[43.19785], [-77.5748786]], [[43.1978831], [-77.5748799]], [[43.197878], [-77.5751161]], [[43.1978278], [-77.5751141]], [[43.197826], [-77.5751952]]]"
IHOP,"[[[43.1971576], [-77.5763992]], [[43.1970076], [-77.5763924]], [[43.1970095], [-77.5763125]], [[43.196991], [-77.5763117]], [[43.1969949], [-77.5761485]], [[43.197085], [-77.5761526]], [[43.1970859], [-77.5761145]], [[43.1971414], [-77.5761171]], [[43.1971408], [-77.5761427]], [[43.1971933], [-77.5761451]], [[43.1971892], [-77.5763173]], [[43.1971596], [-77.5763159]], [[43.1971576], [-77.5763992]]]"
